Style,Category,Artist,Title,Image URL,Art (image+title): agreeableness,Art (image+title): anger,Art (image+title): anticipation,Art (image+title): arrogance,Art (image+title): disagreeableness,Art (image+title): disgust,Art (image+title): fear,Art (image+title): gratitude,Art (image+title): happiness,Art (image+title): humility,Art (image+title): love,Art (image+title): optimism,Art (image+title): pessimism,Art (image+title): regret,Art (image+title): sadness,Art (image+title): shame,Art (image+title): shyness,Art (image+title): surprise,Art (image+title): trust,Art (image+title): neutral,ImageOnly: agreeableness,ImageOnly: anger,ImageOnly: anticipation,ImageOnly: arrogance,ImageOnly: disagreeableness,ImageOnly: disgust,ImageOnly: fear,ImageOnly: gratitude,ImageOnly: happiness,ImageOnly: humility,ImageOnly: love,ImageOnly: optimism,ImageOnly: pessimism,ImageOnly: regret,ImageOnly: sadness,ImageOnly: shame,ImageOnly: shyness,ImageOnly: surprise,ImageOnly: trust,ImageOnly: neutral,TitleOnly: agreeableness,TitleOnly: anger,TitleOnly: anticipation,TitleOnly: arrogance,TitleOnly: disagreeableness,TitleOnly: disgust,TitleOnly: fear,TitleOnly: gratitude,TitleOnly: happiness,TitleOnly: humility,TitleOnly: love,TitleOnly: optimism,TitleOnly: pessimism,TitleOnly: regret,TitleOnly: sadness,TitleOnly: shame,TitleOnly: shyness,TitleOnly: surprise,TitleOnly: trust,TitleOnly: neutral
Modern Art,Pop Art,Patrick Procktor,"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints",https://uploads8.wikiart.org/images/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg,0,0,0.091,0,0,0.091,0,0,0.636,0.273,0.182,0.182,0,0,0,0,0,0.091,0.182,0,0,0,0.091,0,0,0.091,0,0,0.636,0.182,0.091,0.273,0,0,0,0,0,0.091,0.182,0,0,0,0.273,0,0,0,0,0.091,0.182,0.273,0.091,0.091,0,0,0,0,0,0.273,0.182,0
Post Renaissance Art,Rococo,George Romney,Admiral John Forbes (1714–1796),https://uploads0.wikiart.org/images/george-romney/admiral-john-forbes-1714-1796-1778.jpg,0.1,0,0.2,0,0,0.1,0,0.1,0.2,0.1,0,0,0,0,0.4,0,0,0.1,0.9,0,0.1,0,0.2,0,0,0,0,0.1,0.1,0.1,0,0,0,0.2,0.3,0,0,0.1,0.6,0,0.1,0,0.3,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0.7,0
Modern Art,Color Field Painting,Ron Gorchov,Untitled,https://uploads4.wikiart.org/images/ron-gorchov/untitled-1968.jpg,0,0,0.182,0,0,0.182,0,0,0.091,0.364,0,0,0,0,0,0,0,0.273,0,0,0,0,0.273,0,0,0.182,0,0,0.091,0.273,0,0,0,0,0,0,0,0.273,0.091,0,0,0,0.364,0,0,0.091,0,0,0.091,0.182,0.091,0,0,0,0,0,0.182,0.091,0,0.182
Modern Art,Color Field Painting,Louis Cane,Toile d&#233;coup&#233;e,https://uploads0.wikiart.org/images/louis-cane/toile-d-coup-e-1976.jpg,0,0,0.4,0.1,0,0,0,0,0,0,0.1,0.2,0,0,0.1,0,0,0.4,0.1,0,0,0,0.3,0,0,0.1,0,0,0,0,0.1,0.2,0.1,0,0.1,0,0,0.3,0.1,0,0,0,0.714,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0.286,0.143,0
Modern Art,Cubism,Francis Picabia,Dances at the Spring,https://uploads2.wikiart.org/images/francis-picabia/dances-at-the-spring-1912.jpg,0,0,0.167,0,0,0,0,0,0.333,0.083,0.333,0,0,0,0,0,0.083,0.583,0.083,0,0,0,0.25,0.083,0,0,0,0.083,0.25,0.083,0.167,0,0,0,0,0,0,0.667,0.083,0,0,0,0.083,0,0,0,0,0,0.833,0.333,0.167,0.083,0,0,0,0,0,0.083,0.25,0
Renaissance Art,Early Renaissance,Domenico Veneziano,Madonna and Child,https://uploads6.wikiart.org/images/domenico-veneziano/madonna-and-child.jpg,0,0,0,0.083,0.083,0.083,0.083,0,0.167,0.167,0.583,0,0,0,0.083,0,0,0.083,0.5,0,0,0.083,0,0.083,0.083,0.083,0,0.167,0.333,0.167,0.417,0.167,0,0.083,0.083,0.083,0,0.083,0.583,0,0.083,0,0,0,0,0.083,0,0.083,0.417,0.083,0.583,0,0,0.083,0,0,0,0.083,0.417,0
Post Renaissance Art,Neoclassicism,Jacques-Louis David,"The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine by Pope Pius VII, 2nd December 1804",https://uploads6.wikiart.org/images/jacques-louis-david/the-consecration-of-the-emperor-napoleon-and-the-coronation-of-the-empress-josephine-by-pope-1807.jpg,0,0,0.2,0.2,0,0,0,0.1,0.3,0,0,0.1,0,0,0,0,0,0.1,0.8,0,0,0,0.2,0.2,0.1,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0.2,0.7,0,0,0,0.2,0.2,0,0,0,0.1,0.2,0,0,0.1,0,0,0,0,0,0.1,0.8,0
Modern Art,Art Informel,Karl Otto Gotz,Untitled,https://uploads7.wikiart.org/images/karl-otto-gotz/untitled-1958.jpg,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0.2,0.1,0.2,0,0,0.7,0,0.1,0,0,0.4,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.2,0.1,0,0.5,0.1,0.1,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.6
Modern Art,Expressionism,Edvard Munch,The Sick Child (later),https://uploads2.wikiart.org/images/edvard-munch/the-sick-child-1886.jpg,0.091,0,0.091,0,0,0.091,0.273,0,0,0,0,0,0.182,0.455,0.727,0,0,0.091,0.182,0,0.091,0,0.091,0,0,0,0.091,0,0,0,0.091,0,0.182,0.273,0.636,0,0,0.091,0.273,0,0,0,0.091,0,0,0.091,0.091,0,0.091,0,0,0,0.182,0.182,0.727,0,0,0.091,0.182,0
Contemporary Art,Minimalism,Herbert Zangs,Peinture-Relief,https://uploads4.wikiart.org/images/herbert-zangs/peinture-relief-1955.jpg,0,0,0.3,0,0,0.1,0,0,0,0.2,0,0.1,0,0,0.1,0,0,0.3,0,0.1,0,0,0.2,0,0.1,0.1,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.3,0,0.1,0,0,0.444,0,0,0,0,0,0.111,0.111,0.111,0,0,0,0.111,0,0,0.111,0.111,0.222
Modern Art,Neo-Expressionism,Joan Brown,Self Portrait with Cloud &amp; Cigarette,https://uploads2.wikiart.org/images/joan-brown/self-portrait-with-cloud-cigarette-1964.jpg,0,0.091,0.364,0.091,0,0.091,0.364,0.091,0,0,0,0,0.273,0,0.273,0.091,0,0.182,0.182,0,0,0.091,0.273,0,0,0.091,0.364,0.091,0,0.091,0,0,0.182,0,0.182,0,0.091,0.273,0.182,0,0.091,0,0.364,0.182,0,0,0,0,0.182,0.182,0.182,0.091,0,0,0.091,0,0,0.091,0.273,0
Post Renaissance Art,Baroque,Adriaen van de Venne,Princes Maurits and Frederik Hendrik of Orange at the Valkenburg horse fair,https://uploads3.wikiart.org/images/adriaen-van-de-venne/princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair.jpg,0.071,0.027,0.161,0.089,0.036,0.027,0.036,0.045,0.518,0.161,0.045,0.232,0.009,0.027,0.027,0.018,0.009,0.098,0.348,0,0.063,0.036,0.17,0.036,0.054,0.027,0.08,0.018,0.384,0.205,0.018,0.196,0.018,0.009,0.018,0.027,0.009,0.08,0.232,0.009,0.081,0.027,0.162,0.126,0,0.027,0,0.018,0.414,0.072,0.099,0.18,0.009,0,0,0,0.009,0.045,0.441,0.009
Post Renaissance Art,Realism,Honore Daumier,Don Quixote and Sancho Pansa Having a Rest under a Tree,https://uploads4.wikiart.org/images/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg,0,0,0.154,0,0.077,0,0.154,0.077,0.538,0.385,0,0.154,0.154,0,0.231,0,0,0.077,0.231,0,0.077,0,0,0,0.077,0.077,0.385,0,0.385,0.385,0,0,0.154,0.231,0.308,0.154,0,0.077,0,0,0.077,0,0.154,0.077,0.077,0.077,0,0.077,0.462,0.462,0.077,0.077,0.077,0,0.154,0,0,0.077,0.231,0
Modern Art,Abstract Art,Victor Servranckx,Red Rotation,https://uploads5.wikiart.org/images/victor-servranckx/red-rotation-1922.jpg,0.083,0,0.583,0.083,0,0,0.083,0,0,0.083,0,0.167,0,0.083,0,0,0.083,0.417,0.083,0,0.083,0,0.5,0.083,0.083,0.083,0,0.083,0,0,0,0.25,0,0,0,0,0.083,0.333,0.083,0,0.083,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.083,0.25,0.167,0
Modern Art,Art Informel,Antonio Areal,Opus II n&#186; 40,https://uploads1.wikiart.org/images/antonio-areal/opus-ii-n-40-1961.jpg,0,0.091,0,0.091,0,0.273,0.545,0,0,0,0,0,0.091,0,0.091,0,0,0.455,0,0,0,0,0,0,0,0.091,0.545,0,0,0,0,0,0.091,0,0.091,0,0,0.273,0,0,0,0,0.1,0.1,0,0.3,0,0,0,0.1,0,0.1,0,0,0,0,0,0.2,0,0.2
Modern Art,Neo-Expressionism,Corneille,Planets,https://uploads1.wikiart.org/images/corneille/planets-1974.jpg,0,0,0.364,0.091,0,0.273,0.091,0,0.091,0,0.091,0,0,0,0.091,0.091,0,0.636,0.182,0,0,0,0.273,0.091,0.091,0.273,0.091,0,0,0,0.091,0,0,0,0.091,0.182,0.091,0.455,0.091,0,0,0,0.455,0,0.091,0,0.091,0,0.091,0,0.091,0.182,0,0,0,0,0,0.182,0.182,0
Contemporary Art,Minimalism,Antonio Calderara,Spazio Luce,https://uploads4.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg,0,0,0.4,0,0,0.2,0,0,0.3,0.2,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0.3,0,0,0.2,0,0,0.1,0.2,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0.444,0,0,0.222,0,0,0.111,0.111,0,0.111,0,0,0,0,0,0.111,0.111,0.111
Modern Art,Lyrical Abstraction,Afro,Figure,https://uploads8.wikiart.org/images/afro/figure.jpg,0,0,0.3,0,0.2,0.3,0.2,0.1,0,0.1,0,0,0.1,0.1,0.3,0,0,0.8,0.1,0,0,0.1,0.4,0,0,0.3,0.3,0,0.1,0.1,0.1,0,0.2,0.1,0.2,0,0,0.5,0.1,0,0,0,0.6,0,0,0.1,0,0.1,0,0.2,0,0,0,0.1,0.1,0,0,0.3,0.1,0.1
Modern Art,Surrealism,Eileen Agar,The Reaper,https://uploads6.wikiart.org/images/eileen-agar/the-reaper-1938.jpg,0,0.055,0.218,0.018,0.073,0.145,0.236,0,0.055,0.073,0.036,0.073,0,0.055,0.073,0.018,0,0.327,0.073,0.055,0,0.018,0.327,0.036,0.073,0.182,0.055,0.018,0.055,0.073,0.036,0.055,0.036,0,0.036,0.018,0.018,0.436,0.036,0.073,0,0.055,0.218,0.036,0.055,0.109,0.4,0.036,0.073,0.109,0.036,0.055,0.055,0,0.091,0.036,0,0.127,0.055,0.036
Contemporary Art,Minimalism,Lynda Benglis,Corner Piece,https://uploads1.wikiart.org/images/lynda-benglis/corner-piece-1969.jpg,0,0,0.5,0.1,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0.3,0,0,0.1,0.2,0,0.1,0,0.2,0,0,0,0.1,0,0,0.4,0,0,0.1,0,0.5,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0
Modern Art,Color Field Painting,Alma Woodsey Thomas,Atmospheric Effects I,https://uploads7.wikiart.org/images/alma-woodsey-thomas/atmospheric-effects-i-1970.jpg,0.016,0,0.219,0.016,0.047,0.047,0.094,0.031,0.313,0.047,0.031,0.141,0.078,0,0.125,0,0.016,0.266,0.094,0,0.063,0,0.219,0.031,0.016,0.031,0.078,0.078,0.297,0.109,0.047,0.125,0.063,0,0.094,0,0,0.25,0.047,0,0.032,0,0.333,0.016,0.016,0.016,0.079,0.016,0.238,0.048,0.032,0.159,0.032,0.016,0.048,0,0,0.302,0.111,0.016
Post Renaissance Art,Baroque,Francisco de Zurbaran,St. Apollonia,https://uploads6.wikiart.org/images/francisco-zurbaran/st-apollonia-1636.jpg,0.1,0,0,0,0.1,0.1,0,0.2,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0.7,0,0.111,0,0.111,0,0.111,0,0.111,0.222,0.667,0.222,0.111,0.333,0,0.111,0,0,0,0,0.333,0,0,0,0.2,0,0.1,0,0,0.1,0.1,0.2,0,0.1,0.1,0,0.1,0,0,0,0.7,0
Post Renaissance Art,Romanticism,Francisco Goya,Charles IV of Spain and his family,https://uploads6.wikiart.org/images/francisco-goya/charles-iv-of-spain-and-his-family-1800.jpg,0,0,0.1,0.2,0,0,0,0.1,0.4,0,0.4,0.1,0,0,0,0,0,0.1,0.5,0,0,0,0.1,0.2,0,0,0,0.1,0.4,0,0.4,0.1,0,0,0,0,0,0.1,0.5,0,0,0,0.1,0.2,0,0,0,0.1,0.4,0,0.2,0.1,0,0,0,0,0,0.1,0.5,0
Post Renaissance Art,Romanticism,Orest Kiprensky,Portrait of Alexander Pushkin,https://uploads2.wikiart.org/images/orest-kiprensky/portrait-of-alexander-pushkin-1827.jpg,0.2,0,0.1,0.1,0,0,0.1,0.1,0.2,0.1,0.2,0.3,0,0,0,0,0,0,0.5,0,0.1,0,0.3,0,0,0,0.1,0.1,0.3,0.2,0.1,0,0.1,0,0,0.1,0,0,0.5,0,0.1,0,0.3,0,0,0,0.1,0.1,0.3,0.1,0.1,0.2,0,0,0,0,0,0,0.4,0.1
Modern Art,Post-Impressionism,Roger Fry,"View on the Cote d&#39;Azur, Menton",https://uploads6.wikiart.org/images/roger-fry/view-on-the-cote-d-azur-menton-1916.jpg,0,0,0.273,0,0,0,0,0,0.545,0.182,0,0.273,0,0,0,0,0,0.182,0,0,0,0,0.273,0,0,0,0,0,0.364,0.182,0,0.182,0,0,0,0,0,0.182,0,0.091,0,0,0.364,0,0,0,0,0,0.545,0.182,0,0.182,0,0,0,0,0,0,0.091,0
Post Renaissance Art,Realism,Charles-Francois Daubigny,French Coastal Scene,https://uploads3.wikiart.org/images/charles-francois-daubigny/french-coastal-scene-1868.jpg,0,0,0.2,0,0,0,0,0.2,0.5,0.4,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0.1,0.3,0.6,0,0,0,0,0.2,0,0,0.1,0.1,0,0,0,0.5,0,0.1,0,0,0,0.3,0.1,0,0.1,0,0,0.1,0,0,0.1,0.1,0
Post Renaissance Art,Rococo,Joseph-Marie Vien,Greek Woman at the Bath,https://uploads7.wikiart.org/images/joseph-marie-vien/greek-woman-at-the-bath-1767.jpg,0,0,0.091,0.091,0,0,0,0.091,0.545,0.182,0.545,0.182,0,0.091,0.091,0,0,0.091,0.364,0,0,0,0.091,0.182,0,0,0,0.091,0.545,0.273,0.364,0.273,0,0.091,0.091,0,0,0.091,0.273,0,0,0,0.091,0.182,0,0,0,0,0.455,0.273,0.273,0.182,0,0.091,0.091,0,0,0.091,0.273,0
Renaissance Art,Early Renaissance,Pietro Perugino,Christ Handing the Keys to St. Peter,https://uploads8.wikiart.org/images/pietro-perugino/christ-handing-the-keys-to-st-peter-1482.jpg,0.1,0,0.1,0,0,0,0,0.5,0.1,0.6,0,0.2,0,0,0,0,0,0,0.7,0,0.2,0,0,0,0,0,0,0.3,0.1,0.5,0.1,0.2,0,0,0,0,0,0,0.6,0,0.1,0,0.2,0,0,0,0,0.4,0.1,0.5,0.2,0,0,0,0,0,0,0,0.6,0
Modern Art,Art Informel,Willi Baumeister,Monturi with Red and Blue,https://uploads8.wikiart.org/images/willi-baumeister/monturi-with-red-and-blue-1953.jpg,0,0,0.077,0,0.077,0.231,0,0,0.154,0.231,0.077,0.231,0,0.077,0,0,0,0.538,0,0.077,0,0,0.231,0,0,0.231,0,0,0.154,0.077,0,0.231,0.077,0.077,0,0.154,0,0.538,0.077,0,0,0,0.308,0,0,0.231,0.077,0,0,0.308,0.077,0.077,0,0.154,0,0,0,0.308,0,0
Modern Art,Expressionism,Tivadar Kosztka Csontvary,Teacher in Morocco,https://uploads1.wikiart.org/images/tivadar-kosztka-csontvary/teacher-in-morocco-1908.jpg,0,0,0.083,0.083,0,0,0,0,0.083,0.583,0,0.083,0,0,0.083,0,0.083,0.083,0.167,0,0,0,0.083,0.083,0,0,0,0,0.167,0.417,0,0.083,0,0,0.083,0,0,0.167,0.167,0,0,0,0.333,0,0,0,0,0,0.167,0.167,0.083,0.083,0,0,0,0,0,0.083,0.25,0
Modern Art,Abstract Expressionism,Marcel Barbeau,Virgin Forest,https://uploads3.wikiart.org/images/marcel-barbeau/virgin-forest-1948.jpg,0,0.077,0.077,0,0.154,0.077,0.462,0,0,0.077,0,0,0.077,0.077,0.077,0.077,0.077,0.462,0,0,0.077,0.154,0.077,0,0,0.154,0.385,0,0,0,0,0.154,0.154,0,0.154,0,0.077,0.385,0,0,0,0,0.308,0,0,0,0.077,0.077,0.462,0.231,0,0.077,0.077,0,0.077,0,0.077,0.231,0,0
Modern Art,Abstract Art,S. H. Raza,Clocher du Village,https://uploads1.wikiart.org/images/syed-haider-raza/clocher-du-village-1958.jpg,0.012,0.167,0.167,0.06,0.048,0.143,0.31,0.012,0.036,0.024,0.012,0.06,0.167,0.083,0.226,0.036,0.036,0.321,0.036,0.012,0.012,0.155,0.119,0.024,0.071,0.19,0.369,0.012,0.036,0.024,0.012,0.06,0.155,0.083,0.19,0.071,0.024,0.333,0.036,0,0.086,0.029,0.214,0.014,0.014,0.029,0.029,0.043,0.414,0.171,0.086,0.186,0.014,0.029,0.014,0.014,0.014,0.057,0.143,0.043
Modern Art,Post-Impressionism,Janos Tornyai,Wheatland with Woman of Shawl,https://uploads0.wikiart.org/images/janos-tornyai/wheatland-with-woman-of-shawl-1912.jpg,0,0,0,0,0,0,0.1,0.2,0.6,0.6,0,0.2,0,0.1,0.1,0,0,0.1,0.3,0,0,0,0,0.1,0,0,0.1,0.2,0.7,0.5,0,0.1,0.1,0,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0.5,0.7,0.1,0.2,0.1,0.1,0,0,0,0,0.2,0
Modern Art,Magic Realism,Pierre Roy,"Boris Anrep in his Studio, 65 Boulevard Arago",https://uploads3.wikiart.org/images/pierre-roy/boris-anrep-in-his-studio-65-boulevard-arago-1949.jpg,0,0,0.2,0,0,0.1,0,0.1,0.2,0.1,0,0.1,0,0,0,0,0,0.3,0.7,0,0,0,0.3,0,0,0.1,0,0.1,0.2,0.1,0,0.1,0,0,0,0,0,0.3,0.6,0,0,0,0.2,0,0,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0,0.1,0.4,0.2
Modern Art,Cubism,Amadeo de Souza-Cardoso,Landscape,https://uploads8.wikiart.org/images/amadeo-de-souza-cardoso/landscape-1912.jpg,0,0,0.455,0,0,0,0,0,0.273,0.182,0.182,0.091,0,0,0,0,0,0.364,0.091,0,0,0,0.545,0,0,0,0,0,0.273,0.182,0.091,0.091,0,0,0,0,0,0.545,0.091,0,0,0,0.182,0,0,0,0,0,0.545,0,0.182,0.091,0,0,0,0,0,0.091,0.182,0
Modern Art,Surrealism,Edward Weston,"Dunes, Oceano",https://uploads1.wikiart.org/images/edward-weston/dunes-oceano-1936.jpg,0,0,0.2,0,0,0.1,0.2,0,0.4,0.1,0.1,0,0,0,0.4,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0.2,0,0.1,0.1,0,0,0,0.1,0.3,0,0,0.2,0.1,0.1,0,0,0.3,0,0.1,0,0,0,0.7,0.2,0,0.1,0.1,0,0.1,0,0,0.1,0,0
Modern Art,Neo-Expressionism,Manuel Neri,Figure with Legs Crossed,https://uploads2.wikiart.org/images/manuel-neri/figure-with-legs-crossed-1991.jpg,0.1,0,0.3,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0.4,0.1,0,0,0.1,0,0.1,0,0,0,0.1,0.2,0,0.2,0,0,0.2,0.1,0,0.1,0.3,0.1,0,0,0.2,0,0,0.1,0,0,0.2,0.4,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1
Renaissance Art,Northern Renaissance,Martin Schongauer,Ecce Homo,https://uploads6.wikiart.org/images/martin-schongauer/ecce-homo.jpg,0,0.182,0,0,0,0.182,0.364,0.091,0.091,0.091,0.091,0.091,0.091,0.273,0.818,0.364,0,0.091,0.182,0,0,0.091,0,0,0.091,0.091,0.182,0.091,0.091,0.091,0.091,0.091,0,0.273,0.636,0.273,0,0,0.273,0,0.1,0.1,0.2,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0.2,0,0.1
